"Primary Street","Dir","Cross Street","Type","Dist","Count Date","Day","W/B","E/B","N/B","S/B","Total"
"ALVARADO ST","AT","WILSHIRE BL","AUTO","SR","April 19, 2011","TUE","19,554","12,980",,,"32,534"
"ALVARADO ST","N/O","HOOVER ST","AUTO","SR","April 21, 2011","THU","14,954","17,798",,,"32,752"
"ALVARADO ST","AT","OLYMPIC BL","AUTO","SR","December 12, 2012","WED","17,480","15,737","0","0","33,217"
"ALVARADO ST","AT","8 th ST","AUTO","SR","April 20, 2011","WED","16,797","20,110",,,"36,907"
"AMBOY AV","AT","BRANFORD ST","AUTO","SR","December 12, 2012","WED","15,498","20,589","0","0","36,087"
"AMES ST","N/O","TRACY ST","AUTO","CR","June 03, 2011","FRI",,,"560","1,034","1,594"
"ANAHEIM ST","AT","FARRAGUT AV","AUTO","WR","January 25, 2011","TUE",,,"75","58","133"
"ANAHEIM ST","AT","SAMPSON AV","AUTO","EV","May 31, 2011","TUE","363","333",,,"696"
"ANAHEIM ST","AT","FARRAGUT AV","AUTO","EV","May 31, 2011","TUE","429","346",,,"775"
"ANAHEIM ST","AT","ALAMEDA ST","AUTO","EV","May 31, 2011","TUE","408","417",,,"825"
"ANAHEIM ST","AT","QUAY AV","AUTO","HW","August 16, 2011","TUE","589","435",,,"1,024"
"ANAHEIM ST","AT","McFARLAND AV  west jog","AUTO","EV","May 19, 2011","THU","5,982","3,789",,,"9,771"
"ANAHEIM ST","AT","PRESIDENT ST","AUTO","SR","April 08, 2014","TUE","6,734","4,842","0","0","11,576"
"ANAHEIM ST","AT ","BELLE PORTE AV","AUTO","SR","August 27, 2013","TUE","6,737","5,820","0","0","12,557"
"ANAHEIM ST","AT","FRAMPTON AV","MAN","CR","December 06, 2012","WED","13,999","0",,,"13,999"
"ANAHEIM ST","AT","76 PRODUCTS LN","AUTO","WR","September 27, 2011","TUE","6,730","7,741",,,"14,471"
"ANAHEIM ST","AT","GULF AV","MAN","CR","December 06, 2012","WED","16,220","0",,,"16,220"
"ANAHEIM ST","AT","FLINT AV","AUTO","EV","April 01, 2011","FRI",,,"8,244","8,182","16,426"
"ANAHEIM ST","AT","BANNING BL","AUTO","HW","November 14, 2013","THU","7,794","9,758","0","0","17,552"
"ANAHEIM ST","AT","VERMONT AV","AUTO","SR","November 13, 2013","WED","13,333","5,803","0","0","19,136"
"ANAHEIM ST","AT","HENRY FORD AV","AUTO","SR","December 04, 2012","TUE",,,"10,344","9,603","19,947"
"ANAHEIM ST","AT","LAKEME AV","AUTO","HW","November 14, 2013","THU","10,393","9,675","0","0","20,068"
"ANAHEIM ST","AT","LAGOON AV","MAN","EV","March 31, 2011","THU",,,"11,574","9,503","21,077"
"ANAHEIM ST","AT","NEPTUNE AV","AUTO","SR","November 18, 2013","MON","9,907","11,223","0","0","21,130"
"ANAHEIM ST","AT","RONAN AV","AUTO","SR","November 13, 2013","WED","11,288","12,084","0","0","23,372"
"ANAHEIM ST","AT","KING AV","AUTO","SR","November 13, 2013","WED","12,058","11,755","0","0","23,813"
"ANAHEIM ST","W/O","MC FARLAND AV","AUTO","SR","July 08, 2013","MON","12,664","11,963","0","0","24,627"
"ANAHEIM ST","AT","HENRY FORD AV","MAN","HW","July 12, 2011","TUE",,,"12,965","12,023","24,988"
"ANAHEIM ST","AT","McFARLAND AV","MAN","SR","April 30, 2014","WED","14,617","11,388","0","0","26,005"
"ANAHEIM ST","AT","WATSON AV","AUTO","HW","November 14, 2013","THU","13,659","13,693","0","0","27,352"
"ANAHEIM ST","AT","SAMPSON AV","AUTO","SR","November 18, 2013","MON","15,626","15,809","0","0","31,435"
"ANDALUSIA AV","AT","GRAND AV","MAN","WR","May 15, 2013","WED","0","0","193","160","353"
"ANDERSON ST","N/O","JESSIE ST","AUTO","CR","June 13, 2011","MON",,,"10,014","8,931","18,945"
"ANDRITA ST","W/O","FLETCHER DR","AUTO","CR","January 23, 2014","THU","646","591","0","0","1,237"
"ANGELES VISTA BL","S/O","STOCKER ST","AUT","SR","May 19, 2013","SUN","0","0","1,191","2,207","3,398"
"ANGELES VISTA BL","S/O ","STOCKER ST","AUT","SR","May 18, 2013","SAT","0","0","1,742","3,141","4,883"
"ANGUS ST","W/O","LAKE WOOD AV","AUTO","HW","October 03, 2013","THU","634","303","0","0","937"
"ANGUS ST","AT","W SILVERLAKE DR","AUTO ","HW","October 03, 2013","THU","684","1,674","0","0","2,358"
"APPLEBY ST","N/O","LAKE ST","AUTO","CR","January 29, 2013","TUE","0","0","12,620","0","12,620"
"ARBOR VITAE ST","AT","AVIATION BL","AUTO","CR","January 24, 2011","MON","6,773","11,289",,,"18,062"
"ARCADIA ST","AT","LOS ANGELES ST","AUTO","CR","December 09, 2011","THU","5,879","5,903",,,"11,782"
"ARCADIA ST","W/O ","ALAMEDA ST","AUTO","CR","March 12, 2014","WED","11,787","0","0","0","11,787"
"ARCADIA ST","AT","N MAIN ST","MAN","CR","December 05, 2012","WED","13,999","0","0","0","13,999"
