"Primary Street","Dir","Cross Street","Type","Dist","Count Date","Day","W/B","E/B","N/B","S/B","Total"
"TOPANGA CANYON BL","AT","118 FWY WESTBOUND RAMPS","MAN","WV","April 16, 2015","THU","0","0","9,440","1,518","10,958"
"CORNADO TERR","N/O","BELLEVUE AV    ","AUTO","HW","December 01, 2015","TUE","0","0","707","274","981"
"WEST BL","AT","LOMITA ST","AUTO","HW","November 16, 2015","MON","0","0","6,339","6,117","12,456"
"43rd ST","W/O","MAIN ST","AUTO","CR","November 12, 2015","THU","718","672","0","0","1,390"
"CENTRAL AV","AT","FLORENCE AV","AUTO","CR","September 18, 2014","THU","0","0","14,469","13,152","27,621"
"FOOTHILL BL ","AT","TUJUNGA CANYON BL","MAN","EV","June 08, 2016","WED","11,014","15,496","0","0","26,510"
"FRESNO ST","S/O","2nd ST","AUTO","CR","November 17, 2015","TUE","0","0","1,028","1,091","2,119"
"AVALON BL","AT","103rd ST","AUTO","SR","August 17, 2016","WED","0","0","11,948","12,188","24,136"
"WESTERN AV","AT","43rd ST","AUTO","SR","October 21, 2015","WED","0","0","16,772","16,421","33,193"
"MAPLEWOOD AV","W/O","HARVARD BL","AUTO","HW","August 18, 2015","TUE","1,136","968","0","0","2,104"
"SUNSET BL","AT","CUSTER AV","AUTO","HW","February 04, 2015","WED","14,734","16,525","0","0","31,259"
"IMPERIAL HWY","AT","AVALON BL","AUTO","SR","April 30, 2015","THU","13,580","14,352","0","0","27,932"
"BURNSIDE AV","AT","WASHINGTON BL","MAN","HW","December 02, 2015","WED","0","0","569","764","1,333"
"SATICOY ST","AT","VARIEL AV","AUTO","WV","July 11, 2016","MON","12,559","13,016","0","0","25,575"
"ANAHEIM ST","E/O","HAWAIIAN AV","AUTO","SR","May 26, 2016","THU","14,192","13,572","0","0","27,764"
"DENISON AV","S/O","32nd ST","AUTO","SR","May 24, 2016","TUE","0","0","127","117","244"
"EVERGREEN AV","AT","1st ST","MAN","CR","May 19, 2016","THU","0","0","2,218","3,798","6,016"
"SUNSET BL","AT","HILLGARD / COPA DE ORO","AUTO","WR","June 03, 2014","TUE","17,736","15,663","0","0","33,399"
"CENTRAL AV","AT","105th ST","MAN","SR","November 15, 2015","SUN","0","0","13,035","13,353","26,388"
"ALCAZAR ST","E/O","EASTLAKE AV","AUTO","CR","August 20, 2015","THU","3,297","3,791","0","0","7,088"
"FOUNTAIN AV","AT","LYMAN PL","MAN","HW","November 12, 2015","THU","8,086","10,225","0","0","18,311"
"OLYMPIC BL","AT","WILSON ST","MAN","CR","November 10, 2015","TUE","16,443","15,494","0","0","31,937"
"VERMONT AV","AT","28th ST","MAN","SR","June 19, 2016","SUN","0","0","33,758","33,074","66,832"
"HERRICK AV ","AT","EUSTACE ST","MAN","EV","May 12, 2015","TUE","0","0","4,500","2,369","6,869"
"BYNNER DR","S/O","MALGREN AV","AUTO","SR","November 05, 2015","THU","0","0","56","62","118"
"TAMPA AV","AT","RINALDI ST","AUTO","WV","April 14, 2015","TUE","0","0","10,775","5,827","16,602"
"3rd ST","AT","FAIRFAX AV","AUTO","WR","January 15, 2015","THU","16,616","14,772","0","0","31,388"
"253rd ST","AT","FRAMPTON AV","AUTO","SR","May 28, 2014","WED","1,893","1,599","0","0","3,492"
"ST MORITZ DR","AT","RESEDA BL","MAN","WV","April 29, 2015","WED","898","0","0","0","898"
"MATEO ST","S/O","PALMETTO ST","AUTO","CR","November 10, 2015","TUE","0","0","4,167","4,056","8,223"
"WORLD WAY WEST RAMP","TO","PERSHING DR","AUTO","WR","August 14, 2015","FRI","1,902","0","0","0","1,902"
"ST LOUIS ST","AT","2nd AV","MAN","CR","June 14, 2016","TUE","0","0","1,962","2,176","4,138"
"25th ST","E/O","MORAY AV","AUTO","SR","May 26, 2016","THU","10,636","10,229","0","0","20,865"
"SHERMAN WAY","AT","LINDLEY AV","MAN","WV","November 04, 2015","WED","19,030","17,700","0","0","36,730"
"ST LOUIS ST","AT","4th ST","AUTO","CR","January 29, 2015","THU","0","0","2,933","2,323","5,256"
"WILSHIRE BL","E/O","SAN VICENTE BL   ","AUTO","WR","November 21, 2015","SAT","11,946","12,423","0","0","24,369"
"COLISEUM ST","AT","COCHRAN AV","AUTO","HW","October 08, 2015","THU","3,649","1,955","0","0","5,604"
"CENTRAL AV","AT","108th ST","AUTO","SR","September 17, 2014","WED","0","0","17,030","18,047","35,077"
"HAYVENHURST AV","AT","MOORPARK ST (EAST LEG)","MAN","WV","December 18, 2015","FRI","0","0","12,394","15,099","27,493"
"BONNIE BRAE ST","AT","JAMES M WOOD BL","MAN","CR","November 10, 2015","TUE","0","0","1,090","1,180","2,270"
"FLOWER ST","N/O","67th ST","AUTO","SR","November 12, 2015","THU","0","0","0","828","828"
"FLOWER ST","N/O","67th ST","AUTO","SR","November 12, 2015","THU","0","0","0","828","828"
"HI POINT ST","AT","PICKFORD ST","AUTO","HW","July 15, 2015","TUE","0","0","468","286","754"
"SAWYER ST","AT","PREUSS RD","MAN","HW","December 01, 2015","TUE","966","1,570","0","0","2,536"
"AVALON BL","N/O","90th ST","AUTO","CR","November 12, 2015","THU","0","0","10,197","9,030","19,227"
"32nd ST","AT","MAPLE AV","MAN","CR","November 11, 2015","WED","736","618","0","0","1,354"
"THATCHER AV","AT","WASHINGTON BL","MAN","WR","November 12, 2015","THU","0","0","665","59","724"
"MANCHESTER AV","AT","AVALON BL","MAN","SR","April 14, 2015","TUE","17,063","19,442","0","0","36,505"
"VICTORY BL","AT","TOPANGA CANYON BL","MAN","WV","April 08, 2015","WED","14,601","13,282","0","0","27,883"
"HOOVER ST / HYPERION AV","AT","MARATHON ST","MAN","HW","June 17, 2015","WED","0","0","5,177","5,302","10,479"
"6th ST","AT","MEYLER ST","AUTO","SR","June 18, 2014","WED","2,049","1,922","0","0","3,971"
"CENTRAL AV","AT","LANZIT AV","AUTO","SR","September 17, 2014","WED","0","0","16,816","16,660","33,476"
"SWINFORD ST","E/O","HARBOR BL","AUTO","SR","August 23, 2014","SAT","1,856","6,515","0","0","8,371"
"VANOWEN ST","AT","FALLBROOK AV","MAN","WV","May 07, 2015","THU","8,068","2,049","0","0","10,117"
"82nd ST","AT","WESTERN AV","MAN","SR","July 07, 2015","TUE","186","167","0","0","353"
"BEVERLY BL     ","AT","HOOVER ST","MAN","HW","June 16, 2015","TUE","4,853","5,172","0","0","10,025"
"TAMPA AV","AT","NASHVILLE ST","AUTO","WV","April 14, 2015","TUE","0","0","24,381","25,605","49,986"
"VALLEY VISTA BL","AT","CRISP CANYON RD","MAN","EV","April 05, 2016","TUE","1,603","3,598","0","0","5,201"
"SATICOY ST","AT","BALBOA BL","AUTO","WV","June 30, 2016","THU","10,696","14,632","0","0","25,328"
"MATEO ST","S/O","PALMETTO ST","AUTO","CR","May 19, 2016","THU","0","0","4,356","3,871","8,227"
"LASSEN ST","AT","TAMPA AV","AUTO","WV","April 19, 2016","TUE","11,239","10,587","0","0","21,826"
"NORMANDIE AV","AT","SUNSET BL","AUTO","HW","September 15, 2014","MON","0","0","6,307","4,898","11,205"
"SILVER LAKE BL","AT","GARDEN AV","MAN","HW","June 17, 2015","WED","155","263","0","0","418"
"SERRANO AV","AT","HOLLYWOOD BL","MAN","HW","June 16, 2015","TUE","0","0","656","985","1,641"
"AVE 17","N/O ","MOZART ST","AUTO","CR","November 17, 2015","TUE","0","0","987","314","1,301"
"VESELICH AV","AT","GARDEN AV","MAN","HW","June 17, 2015","WED","357","703","0","0","1,060"
"3rd ST","W/O","FICKETT ST","AUTO","CR","November 17, 2015","TUE","226","233","0","0","459"
"KINGSBURY ST","AT","ZELZAH AV","MAN","WV","April 29, 2015","WED","0","1,238","0","0","1,238"
"WESTERN AV","S/O","88th ST","AUTO","SR","September 13, 2015","SUN","0","0","11,618","11,242","22,860"
"VALLEY VISTA BL","E/O","BEVERLY BL","AUTO","EV","April 13, 2015","MON","2,977","1,974","0","0","4,951"
"VALLEY CIRCLE BL","AT","VICTORY BL","AUTO","WV","September 10, 2014","WED","0","0","11,144","10,128","21,272"
"ISABEL DR","E/O","WOLLAM ST","AUTO","CR","August 20, 2015","THU","99","129","0","0","228"
"BARRINGTON AV","AT","DARLINGTON AV","AUTO","WR","April 25, 2016","MON","0","0","7,163","5,903","13,066"
"CARRILLO DR","N/O","SAN VICENTE BL   ","AUTO","WR","May 19, 2016","THU","0","0","9,915","9,803","19,718"
"VENICE BL","AT","CENTINELA AV","MAN","WR","May 06, 2015","WED","21,766","23,418","0","0","45,184"
"25th ST","AT","GUNNELL AV","AUTO","SR","February 26, 2015","THU","8,852","8,810","0","0","17,662"
"SPRING ST","N/O","1st ST","AUTO","CR","February 10, 2016","WED","0","0","0","11,303","11,303"
"NORMANDIE AV","AT","6th ST","AUTO","HW","September 16, 2014","TUE","0","0","9,099","10,408","19,507"
"PALMS BL","AT","CENTINELA AV","MAN","WR","November 12, 2015","THU","6,307","9,315","0","0","15,622"
"WOODCLIFF RD","AT","CODY RD     ","MAN","EV","June 07, 2016","TUE","0","0","4,618","3,412","8,030"
"ALBANY ST","AT","OLYMPIC BL   ","MAN","CR","January 12, 2016","TUE","0","0","1,469","1,264","2,733"
"2nd ST","E/O","FRESNO ST","AUTO","CR","November 17, 2015","TUE","586","460","0","0","1,046"
"5th AV","S/O","SLAUSON AV","AUTO","SR","November 12, 2015","THU","0","0","274","239","513"
"ORANGE DR","N/O","8th ST","AUTO","HW","November 10, 2015","TUE","0","0","501","406","907"
"VENTURA BL","AT","LAUREL CANYON BL","MAN","EV","May 20, 2015","WED","11,623","15,947","0","0","27,570"
"FIGUEROA ST","AT","EL SEGUNDO BL","AUTO","SR","May 05, 2015","TUE","0","0","8,718","8,246","16,964"
"WASHINGTON BL","AT","23rd ST","AUTO","CR","February 17, 2016","WED","13,744","12,728","0","0","26,472"
"CAPITOL DR","AT","MEYLER ST","AUTO","SR","September 22, 2014","MON","6,467","5,355","0","0","11,822"
"9th ST / JAMES M WOOD BL","AT","FIGUEROA ST","MAN","CR","July 28, 2015","TUE","0","23,378","0","0","23,378"
"N COYOTE CANYON DR ","S/O","FOREST LAWN DR","AUTO","HW","May 19, 2016","THU","0","0","516","775","1,291"
"1st ST","AT","HOPE ST","MAN","CR","November 12, 2015","THU","13,907","15,860","0","0","29,767"
"GULF AV","AT","D ST","AUTO","SR","July 16, 2014","WED","0","0","472","844","1,316"
"JASMINE AV","AT","PALMS BL","MAN","WR","November 10, 2015","TUE","0","0","745","294","1,039"
"AMADOR ST","E/O","AMADOR PL","AUTO","CR","August 20, 2015","THU","2,617","1,385","0",,"4,002"
"SUNSET BL","AT","CAROLWOOD DR","AUTO","WR","June 03, 2014","TUE","17,616","17,920","0","0","35,536"
"YORK BL","AT","AVE 63","MAN","CR","November 05, 2015","THU","14,105","12,051","0","0","26,156"
"PALMETTO ST","W/O","MATEO ST     ","AUTO","CR","November 10, 2015","TUE","1,625","1,254","0","0","2,879"
"MULHOLLAND DR  ","AT","WOODCLIFF RD","MAN","EV","June 07, 2016","TUE","8,815","6,366","0","0","15,181"
"HIGHLAND AV","AT","HOLLYWOOD BL","AUTO","HW","February 07, 2015","SAT","0","0","10,619","27,291","37,910"
"CRUCES ST","W/O","BLINN ST","AUTO","SR","May 24, 2016","TUE","136","143","0","0","279"
"MENLO AV","S/O","161st ST","AUTO","SR","July 21, 2015","TUE","0","0","306","278","584"
"GAFFEY ST","AT","SHEPARD ST","AUTO","SR","March 04, 2015","WED","0","0","822","1,774","2,596"
"25th ST","AT","WESTERN AV","AUTO","SR","February 26, 2015","THU","8,400","9,149","0","0","17,549"
"AMBOY AV","AT","BRANFORD ST","MAN","EV","December 09, 2015","WED","0","0","348","996","1,344"
"DOVER ST","AT","REVERE AV","AUTO","HW","June 08, 2014","SUN","0","0","457","261","718"
"CULVER BL","S/O","SLAUSON AV","AUTO","WR","August 13, 2015","THU","0","0","15,357","15,077","30,434"
"6th AV","N/O","48th ST","AUTO","SR","May 24, 2016","TUE","0","0","303","313","616"
"FLORENCE AV","AT","SAN PEDRO ST","AUTO","SR","September 24, 2014","WED","19,921","16,865","0","0","36,786"
"CRENSHAW BL","AT","28tH ST","MAN","HW","June 14, 2016","TUE","0","0","19,559","18,133","37,692"
"FALLBROOK AV","AT","OXNARD ST","AUTO","WV","August 02, 2016","TUE","0","0","15,750","15,561","31,311"
"BEVERLY BL     ","AT","COMMONWEALTH AV","AUTO","HW","March 02, 2016","WED","8,989","7,665","0","0","16,654"
"OLYMPIC BL","AT"," LA BREA AV","AUTO","WR","November 20, 2014","THU","18,435","21,522","0","0","39,957"
"56th ST","W/O","ASCOT AV","AUTO","CR","November 12, 2015","THU","504","561","0","0","1,065"
"VANOWEN ST","AT","WHITSETT AV","AUTO","EV","August 20, 2014","WED","14,617","16,324","0","0","30,941"
"GORDON ST","S/O","FOUNTAIN AV","AUTO","HW","August 18, 2015","TUE","0","0","420","523","943"
"LA SALLE AV","AT","25th ST","MAN","SR","June 11, 2015","THU","0","0","658","496","1,154"
"WADSWORTH AV","N/O","105th ST`","AUTO","SR","August 13, 2015","THU","0","0","183","122","305"
"CHICKASAW AV","W/O","TOWNSEND AV","AUTO","CR","November 19, 2015","THU","248","336","0","0","584"
"RIMPAU BL","AT","8th ST","MAN","HW","December 02, 2015","WED","0","0","8,044","8,646","16,690"
"COLISEUM ST","AT","DU RAY PL","AUTO","HW","November 02, 2015","MON","3,668","2,325","0","0","5,993"
"ALAMEDA ST","AT","WASHINGTON BL","MAN","CR","April 21, 2015","TUE","0","0","14,598","17,047","31,645"
"ZELZAH AV","AT","NORDHOFF ST","AUTO","WV","August 04, 2016","THU","0","0","1,246","8,336","9,582"
"12th ST","E/O","MEYLER ST","AUTO","SR","August 25, 2015","TUE","530","482","0","0","1,012"
"AVENUE 50","AT","ALDAMA ST","MAN","CR","June 16, 2015","TUE","0","0","5,410","6,846","12,256"
"BONNIE BRAE ST","N/O","JAMES M WOOD BL","AUTO","CR","July 28, 2015","TUE","0","0","1,423","1,224","2,647"
"BOYLSTON ST / EVERETT ST","AT","SUNSET BL","MAN","CR","December 01, 2015","TUE","776","256","0","0","1,032"
"PACIFIC COAST HWY","AT","ALAMEDA ST","MAN","SR","April 08, 2015","WED","4,916","0","0","0","4,916"
"WILSHIRE BL","AT","SEPULVEDA BL","MAN","WR","April 09, 2015","THU","41,301","33,544","0","0","74,845"
"VALLEY BL","AT","710 FWY NORTHBOUND RAMPS","MAN","CR","April 15, 2015","WED","21,253","5,139","0","0","26,392"
"FIGUEROA ST","AT","157th ST","AUTO","CR","March 17, 2015","TUE","0","0","7,723","7,972","15,695"
"22nd ST","W/O","HOOVER ST","AUTO","SR","May 17, 2016","TUE","467","629","0","0","1,096"
"30th ST","E/O","5th AV","AUTO","HW","August 19, 2015","WED","367","640","0","0","1,007"
"WESTERN AV","AT","94th ST","MAN","SR","June 07, 2016","TUE","0","0","14,443","12,768","27,211"
"AVALON BL","AT","90th ST","AUTO","SR","August 16, 2016","TUE","0","0","11,169","9,255","20,424"
"WALKER AV","AT","HAMILTON AV","AUTO","SR","June 14, 2014","SAT","0","0","734","602","1,336"
"OLYMPIC BL","AT","HAUSER BL","AUTO","WR","November 20, 2014","THU","23,326","20,532","0","0","43,858"
"ALVIRA ST","N/O","CASHIO ST","AUTO","HW","August 13, 2015","THU","0","0","944","771","1,715"
"OLYMPIC BL","AT","HARVARD BL","AUTO","WR","January 20, 2015","TUE","23,022","21,909","0","0","44,931"
"MANCHESTER AV","AT","AVALON BL","AUTO","CR","February 25, 2015","WED","19,918","21,512","0","0","41,430"
"PORTER ST","AT","10 FWYE/B ON AND OFF ARMP","MAN","CR","November 10, 2015","TUE","6,326","3,899","0","0","10,225"
"MILWAUKEE AV","S/O","YORK BL","AUTO","CR","August 25, 2015","TUE","0","0","400","329","729"
"AVE 26","AT","ARTESIAN ST","MAN","CR","November 05, 2015","THU","0","0","11,804","10,720","22,525"
"SAN PEDRO ST","AT","105th ST","MAN","SR","June 10, 2015","WED","0","0","3,990","3,826","7,816"
"4th ST","AT","SOTO ST","AUTO","CR","April 05, 2016","TUE","10,155","11,397","0","0","21,552"
"COLISEUM ST","AT","RIDGELEY DR","AUTO","HW","October 13, 2015","TUE","3,847","2,289","0","0","6,136"
"BEVERLY BL   ( SOUTH INTERSECTION)","AT","VALLEY VISTA BL","AUTO","EV","April 13, 2015","MON","0","0","13,738","12,828","26,566"
"GAGE AV","E/O","AVALON BL","AUTO","CR","August 20, 2015","THU","15,831","17,460","0","0","33,291"
"AVENUE 52","AT","N FIGUEROA ST","MAN","CR","February 17, 2016","WED","4,293","2,945","0","0","7,238"
"GAFFEY ST","AT","30th ST / 31st ST","AUTO","SR","March 05, 2015","THU","0","0","3,279","3,898","7,177"
"FIGUEROA ST","AT","108th ST","AUTO","SR","May 12, 2015","TUE","0","0","13,223","13,383","26,606"
"74th ST","E/O","5th AV","AUTO","SR","November 12, 2015","THU","295","239","0","0","534"
"TOPANGA CANYON BL","AT","DEVONSHIIRE ST","MAN","WV","April 08, 2015","WED","0","0","20,903","21,134","42,037"
"VANOWEN ST","AT","INDEPENDENCE AV","MAN","WV","December 09, 2015","WED","14,173","14,323","0","0","28,496"
"LASSEN ST","AT","BALBOA BL","AUTO","WV","April 21, 2016","THU","11,139","13,630","0","0","24,769"
"WESTERN AV","AT","PACIFIC COAST HWY","MAN","SR","April 08, 2015","WED","0","0","15,942","10,967","26,909"
"HALLDALE AV","AT","CARSON ST","MAN","SR","June 08, 2016","WED","0","0","348","588","936"
"6th ST","E/O","BREED ST","AUTO","CR","August 20, 2015","THU","1,400","1,178","0",,"2,578"
"HOOVER ST","AT","FLORENCE AV","MAN","SR","June 11, 2015","THU","0","0","8,540","6,709","15,249"
"WORLD WAY WEST BRIDGE","AT","PERSHING DR","AUTO","WR","August 21, 2015","FRI","3,563","1,672","0","0","5,235"
"3rd ST","AT","BEAUDRY AV","MAN","CR","June 16, 2015","TUE","17,968","0","0","0","17,968"
"SUNSET BL","AT","MINORCA DR","AUTO","WR","August 19, 2014","TUE","14,958","14,166","0","0","29,124"
"MARTINEZ ST","AT","CANOGA AV","MAN","WV","November 27, 2016","WED","68","0","0","0","68"
"CHANNEL RD / CAUTAUQUA BL","AT","PACIFIC COAST HWY","MAN","WR","April 23, 2015","THU","18,694","0","0","0","18,694"
"COLISEUM ST","AT","SYCAMORE AV","AUTO","HW","October 07, 2015","WED","5,253","2,735","0","0","7,988"
"GAFFEY ST ","AT","MIRAFLORES AV","AUTO","SR","April 13, 2016","WED","0","0","16,505","14,186","30,691"
"BEVERLY GLEN BL","AT","NICADIA DR","AUTO","WR","October 08, 2014","WED","0","0","9,974","8,234","18,208"
"SUNSET BL","AT","MARION AV","AUTO","HW","February 04, 2015","WED","18,584","17,917","0","0","36,501"
"PASADENA AV","AT","WORKMAN ST / AVENUE 29","MAN","CR","May 21, 2015","THU","0","0","2,808","5,544","8,352"
"HARBOR BL  ","BTWN","BEACON ST AND O FARELL ST","AUTO","SR","August 24, 2014","SUN","0","0","16,800","11,736","28,536"
"LASSEN ST","AT","RESEDA BL","AUTO","WV","April 20, 2016","WED","12,742","12,951","0","0","25,693"
"PARTHENIA ST","AT","TAMPA AV","AUTO","WV","December 03, 2015","THU","16,653","13,981","0","0","30,634"
"OSBORNE PL","AT","GLENOAKS BL","MAN","EV","March 04, 2015","WED","0","1,558","0","0","1,558"
"OSBORNE PL","AT","GLENOAKS BL","MAN","EV","March 04, 2015","WED","0","1,558","0","0","1,558"
"TREMAINE AV","AT","SAN VICENTE BL   ","MAN","HW","June 16, 2015","TUE","0","0","350","785","1,135"
"WORLD WAY WEST BRIDGE","AT","PERSHING DR","AUTO","WR","August 13, 2016","SAT","2,359","894","0","0","3,253"
"SYCAMORE AV","N/O","LEXINGTON AV","AUTO","HW","November 10, 2015","TUE","0","0","828","750","1,578"
"HOLLYWOOD BL","AT","HIGHLAND AV","AUTO","HW","February 08, 2015","SUN","7,938","14,430","0","0","22,386"
"MEYLER ST","AT","6th ST","AUTO","SR","June 18, 2014","WED","0","0","282","45","327"
"WASHINGTON BL ","AT","CRENSHAW BL","AUTO","HW","February 18, 2015","WED","13,933","10,848","0","0","24,881"
"HILL ST","AT","14th ST","MAN","CR","August 18, 2015","TUE","0","0","5,927","6,411","12,338"
"GAGE AV","AT","AVALON BL","MAN","CR","June 11, 2015","THU","14,264","13,661","0","0","27,925"
"FIGUEROA ST","AT","MANCHESTER AV","AUTO","SR","May 13, 2015","WED","0","0","14,751","15,987","30,738"
"DETROIT ST","AT","9th ST","AUTO","HW","October 22, 2015","THU","0","0","699","504","1,203"
"SATICOY ST","AT","RESEDA BL","AUTO","WV","June 30, 2016","THU","13,520","15,350","0","0","28,870"
"BARRINGTON AV","N/O","CHENAULT ST","AUTO","WR","November 17, 2015","TUE","0","0","12,950","9,428","22,378"
"SATICOY ST","AT","LANKERSHIM BL","AUTO","EV","September 24, 2014","WED","6,620","6,276","0","0","12,896"
"ALMA ST","N/O","26th ST","AUTO","SR","August 06, 2015","SR","0","0","1,529","1,384","2,913"
"FIGUEROA ST","AT","92nd ST","AUTO","SR","May 13, 2015","WED","0","0","14,231","13,777","28,008"
"ROMAINE ST","AT","HIGHLAND AV","MAN","HW","December 02, 2015","WED","1,130","1,643","0","0","2,773"
"SHELDON ST","AT","GLENOAKS BL","AUTO","EV","October 13, 2016","THU","5,709","8,967","0","0","14,676"
"WHITE OAK AV","AT","SATICOY ST","AUTO","WV","July 28, 2016","THU","0","0","9,259","7,707","16,966"
"8th ST","AT","RIMPAU BL","MAN","HW","December 02, 2015","WED","684","599","0",,"1,283"
"MARTEL AV","AT","HOLLYWOOD BL","MAN","HW","June 17, 2015","WED","0","0","313","867","1,180"
"TEMPLE ST","AT","BEAUDRY AV","MAN","CR","July 10, 2014","THU","8,340","8,578","0","0","16,918"
"YORK BL","E/O","AVENUE 49","AUTO","CR","August 20, 2015","THU","11,683","11,120","0","0","22,803"
"VENTURA BL","AT","VANALDEN AV / FRWY ON RAMP","AUTO","WV","June 16, 2015","TUE","19,142","28,797","0","0","47,939"
"PARTHENIA ST","AT","AMESTOY AV","AUTO","WV","November 04, 2015","WED","17,014","16,288","0","0","33,302"
"ANAHEIM ST","E/O","ISLAND AV","AUTO","SR","May 26, 2016","THU","13,667","12,763","0","0","26,430"
"WILMINGTON BL","S/O","DOLORES ST","AUTO","SR","May 24, 2016","TUE","0","0","7,445","8,214","15,659"
"VERNON AV","AT","STANFORD AV","AUTO","CR","March 22, 2015","TUE","11,090","13,438","0","0","24,528"
"TEMPLE ST","AT","HOOVER ST","AUTO","HW","January 13, 2015","TUE","7,382","3,321","0","0","10,703"
"SEPULVEDA BL","AT","LA GRANGE AV","AUTO","WR","April 23, 2015","THU","0","0","12,731","11,028","23,759"
"SEDAN AV","AT","ROSCOE BL","MAN","WV","April 30, 2015","THU","0","0","0","759","759"
"TUJUNGA CANYON BL","AT","FOOTHILL BL","MAN","EV","June 08, 2016","WED","0","0","8,286","6,864","15,150"
"FIGUEROA ST","AT","ARROYO GLEN ST","AUTO","CR","February 03, 2016","WED","0","0","11,499","12,063","23,562"
"TOPANGA CANYON BL","AT","ROSCOE BL","MAN","WV","April 08, 2015","WED","0","0","17,310","25,624","42,934"
"HI POINT ST","S/O","SATURN ST","AUTO","HW","August 19, 2015","WED","0","0","416","552","968"
"253rd ST","E/O","PRESIDENT AV","AUTO","SR","August 04, 2015","TUE","613","724","0","0","1,337"
"AVALON BL","S/O","E ST","AUTO","SR","August 25, 2015","TUE","0","0","2,918","2,728","5,646"
"DE SOTO AV","AT","PARTHENIA ST","AUTO","WV","March 18, 2015","WED","0","0","19,155","19,668","38,823"
"PICO BL","AT","CRENSHAW BL","AUTO","HW","July 08, 2015","WED","11,945","13,585","0","0","25,530"
"GAFFEY ST","AT","25th ST","AUTO","SR","March 05, 2015","THU","0","0","4,518","8,096","12,614"
"8th ST","AT","SPAULDING AV","MAN","HW","June 16, 2015","TUE","5,229","5,271","0","0","10,500"
"WESTERN AV","S/O","49th ST","AUTO","SR","November 12, 2015","THU","0","0","16,681","16,622","33,303"
"DE SOTO AV","AT","VICTORY BL","AUTO","WV","April 01, 2015","WED","0","0","20,983","18,360","39,343"
"OCEAN AV/E CHANNEL","AT","ENTRADA DR","MAN","WR","August 20, 2014","WED","0","0","4,907","425","5,332"
"VENTURA BL","AT","LANKERSHIM BL","MAN","EV","May 21, 2015","THU","11,083","13,146","0","0","24,229"
"CENTRAL AV","AT","HOOPER AV","AUTO","SR","September 17, 2014","WED","0","0","14,977","8,220","23,197"
"7th ST","AT","OLIVE ST","MAN","CR","November 10, 2015","TUE","8,272","6,185","0","0","14,457"
"62nd ST","E/O","NORMANDIE AV","AUTO","SR","August 13, 2015","THU","307","421","0","0","728"
"SWINFORD ST","E/O","HARBOR BL","AUTO","SR","August 24, 2014","SUN","2,872","5,719","0","0","8,591"
"PICO BL","AT","HARVARD AV","AUTO","HW","January 07, 2015","WED","9,560","10,587","0","0","20,147"
"8th ST","AT","CURSON AV","AUTO","HW","December 09, 2014","TUE","4,476","6,352","0","0","10,828"
"SUNSET BL","AT","WILL ROGERS RD","AUTO","WR","August 26, 2014","TUE","14,260","12,247","0","0","26,507"
"BLACKWELDER ST","W/O","HAUSER BL","AUTO","HW","November 10, 2015","TUE","308","630","0","0","938"
"MORAY AV","S/O","25th ST","AUTO","SR","May 26, 2016","THU","0","0","914","1,074","1,988"
"JUNE ST","AT","6th ST","MAN","HW","June 23, 2016","THU","0","0","449","261","710"
"VENICE BL","AT","CENTINELA AV","MAN","WR","May 07, 2015","THU","22,424","23,559","0","0","45,983"
"JENNY AV PARKING LOT DRIVEWAY","S/O","WESTCHESTER PRKWY","AUTO","WR","November 04, 2014","TUE","3,029","2,127","0","0","5,156"
"ADAMS BL","AT","TRINITY ST","MAN","CR","June 11, 2015","THU","7,262","7,435","0","0","14,697"
"FRANKLIN AV","AT","VISTA DEL MAR AV","MAN","HW","June 15, 2016","WED","18,861","12,711","0","0","31,572"
"52nd ST","AT","WESTERN AV","AUTO","SR","July 29, 2014","TUE","578","993","0","0","1,571"
"VALLEY VISTA BL","AT","KNOBHILL DR","MAN","EV","March 17, 2016","THU","5,198","5,664","0","0","10,862"
"WESTERN AV","N/O","PASEO DEL MAR","AUTO","SR","October 16, 2014","THU","0","0","1,499","1,526","3,025"
"ANZAC AV","S/O","103rd ST","AUTO","SR","June 02, 2016","THU","0","0","0","640","640"
"PERSHING DR N/B RAMP","TO","WORLD WAY WEST","AUTO","WR","August 12, 2016","FRI","0","0","4,048","0","4,048"
"PARKMAN AV","AT","TEMPLE ST","MAN","HW","April 29, 2015","WED","0","0","0","355","355"
"TEMPLE ST","W/O","BEAUDRY AV","AUTO","CR","January 15, 2015","THU","9,207","9,790","0","0","18,997"
"RESEDA BL","AT","BASSETTE ST","AUTO","WV","October 29, 2014","WED","0","0","16,905","16,517","33,422"
"MANCHESTER AV","AT","WESTERN AV","AUTO","SR","February 18, 2015","WED","19,781","18,878","0","0","38,659"
"65th PL","W/O","BUDLONG AV","AUTO","SR","November 12, 2015","THU","314","287","0","0","601"
"OVERLAND AV","AT","PALMS BL","AUTO","WR","September 08, 2015","TUE","0","0","16,647","15,192","31,839"
"RESEDA BL","AT","BURBANK BL","AUTO","WV","October 23, 2014","THU","0","0","17,405","26,057","43,462"
"HUBBARD ST","AT","FOOTHILL BL","AUTO","EV","January 14, 2016","THU","18,853","12,404","0","0","31,257"
"CLINTON ST","AT","ROSSMORE AV","MAN","HW","December 02, 2015","WED","1,311","559","0","0","1,870"
"WILLOW ST","AT","SANTA FE AV","MAN","CR","November 10, 2015","TUE","2","621","0","0","623"
